iter	Passed	Remaining
191	13695	21969
192	13784	21925
193	13918	21954
194	14011	21914
195	14091	21856
196	14164	21786
197	14240	21720
198	14310	21645
199	14380	21571
200	14453	21500
201	14526	21430
202	14602	21363
203	14676	21295
204	14757	21235
205	14833	21170
206	14916	21113
207	15000	21058
208	15081	20998
209	15159	20934
210	15232	20864
211	15309	20797
212	15377	20719
213	15447	20645
214	15528	20583
215	15611	20525
216	15694	20467
217	15777	20409
218	15853	20341
219	15932	20278
220	16017	20221
221	16096	20156
222	16175	20092
223	16249	20021
224	16323	19951
225	16402	19886
226	16485	19825
227	16562	19758
228	16642	19695
229	16724	19633
230	16798	19561
231	16884	19504
232	16960	19435
233	17039	19369
234	17114	19299
235	17190	19230
236	17268	19162
237	17342	19091
238	17420	19024
239	17497	18955
240	17568	18880
241	17640	18806
242	17712	18732
243	17780	18654
244	17851	18579
245	17928	18511
246	18004	18442
247	18080	18371
248	18152	18298
249	18222	18222
250	18292	18146
251	18368	18077
252	18443	18005
253	18515	17932
254	18588	17859
255	18660	17786
256	18730	17709
257	18803	17637
258	18883	17570
259	18959	17500
260	19038	17434
261	19114	17363
262	19185	17289
263	19251	17209
264	19331	17142
265	19404	17069
266	19475	16995
267	19545	16919
268	19601	16832
269	19678	16762
270	19746	16686
271	19819	16613
272	19894	16542
273	19970	16471
274	20042	16398
275	20114	16325
276	20184	16249
277	20250	16171
278	20321	16096
279	20389	16020
280	20464	15949
281	20537	15876
282	20615	15807
283	20687	15734
284	20765	15664
285	20840	15594
286	20921	15526
287	20996	15455
288	21073	15385
289	21147	15313
290	21223	15243
291	21294	15168
292	21362	15092
293	21436	15020
294	21507	14945
295	21579	14872
296	21654	14800
297	21726	14727
298	21797	14653
299	21874	14582
300	21953	14514
301	22033	14445
302	22112	14376
303	22182	14302
304	22253	14227
305	22320	14151
306	22396	14080
307	22469	14007
308	22545	13936
309	22613	13859
310	22679	13782
311	22752	13709
312	22823	13635
313	22904	13567
314	22974	13493
315	23047	13420
316	23121	13347
317	23196	13275
318	23270	13203
319	23344	13131
320	23412	13055
321	23489	12984
322	23563	12912
323	23635	12839
324	23705	12764
325	23777	12691
326	23851	12618
327	23933	12550
328	24012	12480
329	24081	12405
330	24154	12332
331	24226	12259
332	24296	12184
333	24367	12110
334	24442	12038
335	24514	11965
336	24587	11892
337	24660	11819
338	24731	11745
339	24807	11674
340	24882	11602
341	24954	11528
342	25029	11456
343	25098	11381
344	25175	11310
345	25249	11238
346	25317	11163
347	25391	11090
348	25468	11019
349	25540	10946
350	25616	10874
351	25693	10803
352	25771	10732
353	25844	10658
354	25923	10588
355	26000	10517
356	26071	10443
357	26145	10370
358	26221	10298
359	26287	10222
360	26359	10149
361	26433	10076
362	26504	10003
363	26574	9928
364	26644	9854
365	26723	9784
366	26792	9709
367	26867	9637
368	26940	9564
369	27022	9494
370	27098	9422
371	27171	9349
372	27239	9274
373	27312	9201
374	27384	9128
375	27455	9054
376	27527	8981
377	27598	8907
378	27675	8835
379	27750	8763
380	27823	8690
381	27900	8618
382	27972	8545
383	28051	8473
384	28124	8400
385	28195	8327
386	28270	8254
387	28346	8182
388	28421	8110
389	28499	8038
390	28588	7969
391	28666	7897
392	28751	7828
393	28827	7755
394	28909	7684
395	28997	7615
396	29085	7546
397	29170	7475
398	29248	7403
399	29325	7331
